id,title,year,pagerank,cluster
W2984040540,Batch DropBlock Network for Person Re-Identification and Beyond,2019,0.00045981491875741527,5
W3096688134,Feature Space Augmentation for Long-Tailed Data,2020,0.00045758692334976883,5
W3035566692,Jointly Non-Sampling Learning for Knowledge Graph Enhanced Recommendation,2020,0.00045596017862334397,5
W3018378048,Supervised Contrastive Learning.,2020,0.00045543154345033184,5
W4214718285,Parametric Contrastive Learning,2021,0.0004552445957116593,5
W3034748927,What makes instance discrimination good for transfer learning,2020,0.0004551251101172012,5
W4384648324,Where to Go Next for Recommender Systems? ID- vs. Modality-based Recommender Models Revisited,2023,0.00045387637847118465,5
W3025937945,A Heterogeneous Graph Neural Model for Cold-start Recommendation,2020,0.0004481766957947688,5
W2992183111,Spectral Feature Transformation for Person Re-Identification,2019,0.00044766503162699706,5
W3194065175,Learning by Aligning: Visible-Infrared Person Re-identification using Cross-Modal Correspondences,2021,0.00044568649531529994,5
W2904973725,Unsupervised Person Re-Identification by Deep Asymmetric Metric Embedding,2018,0.0004450138235520077,5
W4226134030,Forward Compatible Few-Shot Class-Incremental Learning,2022,0.0004446744125005211,5
W2995480165,On Mutual Information Maximization for Representation Learning,2020,0.00044457099441778063,5
W4389104669,Contrastive Masked Autoencoders are Stronger Vision Learners,2023,0.00044390358271874126,5
W2953003997,STA: Spatial-Temporal Attention for Large-Scale Video-Based Person Re-Identification,2019,0.00044263201386537265,5
W3101588560,Predicting Dynamic Embedding Trajectory in Temporal Interaction Networks,2019,0.0004419982558013856,5
W2971765950,Deep-Person: Learning discriminative deep features for person Re-Identification,2019,0.0004419148814451495,5
W3081190557,AutoFIS,2020,0.00043721860685504713,5
W4367047145,Learning Vector-Quantized Item Representation for Transferable Sequential Recommenders,2023,0.00043445528732296613,5
W3174505228,Exploiting Sample Uncertainty for Domain Adaptive Person Re-Identification,2021,0.0004327195469907195,5
W2776879428,Orientation Invariant Feature Embedding and Spatial Temporal Regularization for Vehicle Re-identification,2017,0.00043128065229545894,5
W3034369739,Deep Representation Learning on Long-Tailed Data: A Learnable Embedding Augmentation Perspective,2020,0.0004312443255249453,5
W3093922720,Multi-modal Knowledge Graphs for Recommender Systems,2020,0.00042749092764326894,5
W3178914557,ContrastNet: Unsupervised feature learning by autoencoder and prototypical contrastive learning for hyperspectral imagery classification,2021,0.00042728418684076795,5
W2997738728,Discriminative Feature Learning With Consistent Attention Regularization for Person Re-Identification,2019,0.00042354456671983733,5
W3210946531,Discover Cross-Modality Nuances for Visible-Infrared Person Re-Identification,2021,0.0004200317094127199,5
W4313028293,FOSTER: Feature Boosting and Compression for Class-Incremental Learning,2022,0.00041542050110006417,5
W3122325173,Prototypical Contrastive Learning of Unsupervised Representations,2020,0.00041389394043959987,5
W4312881178,Deep Safe Multi-view Clustering: Reducing the Risk of Clustering Performance Degradation Caused by View Increase,2022,0.00041381935679208855,5
W4292950683,Improving Knowledge-aware Recommendation with Multi-level Interactive Contrastive Learning,2022,0.0004099445925099777,5
W3109620645,CoMatch: Semi-supervised Learning with Contrastive Graph Regularization,2021,0.00040683141797383205,5
W3155368131,Empowering News Recommendation with Pre-trained Language Models,2021,0.00040558086921902434,5
W3100137005,Contrast to Divide: Self-Supervised Pre-Training for Learning with Noisy Labels,2022,0.00040537245496641283,5
W2944833253,Learning to Represent the Evolution of Dynamic Graphs with Recurrent Models,2019,0.000404509635606035,5
