Author,Reported_Degree,Actual_Degree,Strength
Shuang Luo,58,58,59
Tianhao Li,66,66,76
Tianyi Tang,79,79,96
Wenbiao Yin,58,58,59
Xingzhang Ren,96,96,125
Xinyu Wang,67,67,68
Xinyu Zhang,82,82,83
Xuancheng Ren,104,104,135
Yang Fan,104,104,133
Yang Su,60,60,61
Yi-Chao Zhang,58,58,59
Yinger Zhang,58,58,59
Yu Wan,66,66,76
Yuqiong Liu,58,58,59
Zekun Wang,78,78,80
Zeyu Cui,94,94,113
Zhenru Zhang,89,89,108
Zhipeng Zhou,58,58,59
Zihan Qiu,63,63,64
G. Zweig,7,7,9
Alisa Zhila,4,4,4
Christopher Meek,10,10,10
R. Monga,11,11,18
M. Devin,11,11,18
Mark Z. Mao,11,11,11
Marc'Aurelio Ranzato,14,14,21
A. Senior,21,21,21
P. Tucker,11,11,11
Ke Yang,11,11,11
E. Huang,3,3,3
A. Mnih,1,1,1
Y. Teh,1,1,1
David Jurgens,42,42,42
Saif M. Mohammad,37,37,37
Peter D. Turney,3,3,3
K. Holyoak,5,5,5
Geoffry Zweig,1,1,1
C. Burges,1,1,1
Anoop Deoras,5,5,8
Daniel Povey,10,10,10
L. Burget,7,7,16
J. Černocký,20,20,29
Stefan Kombrink,5,5,8
Andrew L. Maas,5,5,5
Raymond E. Daly,5,5,5
Peter T. Pham,5,5,5
S. Khudanpur,5,5,8
John C. Duchi,2,2,2
Elad Hazan,2,2,2
Y. Singer,2,2,2
R. Collobert,6,6,6
L. Bottou,5,5,5
Michael Karlen,5,5,5
Pavel P. Kuksa,5,5,5
Vysoké Učení,3,3,3
Technické V Brně,3,3,3
Grafiky A Multimédií,3,3,3
Disertační Práce,3,3,3
M. Karafiát,4,4,4
Hyunsoo Park,2,2,2
Anthony Onwuli,2,2,2
A. Walsh,2,2,2
Mingyue Cheng,19,19,19
Yucong Luo,11,11,11
Ouyang Jie,11,11,11
Qi Liu,96,96,107
Huijie Liu,11,11,11
Li Li,62,62,64
Shuo Yu,15,15,15
Bohou Zhang,11,11,11
Jiawei Cao,11,11,11
Jie Ma,42,42,45
Daoyu Wang,11,11,11
Enhong Chen,56,56,70
Tianshi ZHENG,12,12,14
Jiayang Cheng,11,11,13
Chunyang Li,8,8,8
Haochen Shi,18,18,20
Zihao Wang,41,41,41
Jiaxin Bai,12,12,14
Yangqiu Song,48,48,56
Ginny Y. Wong,8,8,8
Simon See,8,8,8
Jingang Qu,3,3,3
David Holzmüller,3,3,3
G. Varoquaux,4,4,4
Marine Le Morvan,3,3,3
Hossein Mirzaei,9,9,9
Mohammad Jafari,9,9,9
Hamid Reza Dehbashi,9,9,9
Ali Ansari,9,9,9
Sepehr Ghobadi,9,9,9
Masoud Hadi,9,9,9
Arshia Soltani Moakhar,9,9,9
Mohammad Azizmalayeri,9,9,9
M. Baghshah,14,14,14
M. H. Rohban,9,9,9
Cong Wu,6,6,6
Jing Chen,41,41,41
Simeng Zhu,6,6,6
Wenqi Feng,6,6,6
Kun He,9,9,9
Ruiying Du,6,6,6
Yang Xiang,78,78,81
Houjian Yu,4,4,4
Xibai Lou,4,4,6
Yuanhao Liu,4,4,4
Changhyun Choi,4,4,6
Core Francisco Park,7,7,7
Andrew Lee,7,7,7
Ekdeep Singh Lubana,7,7,7
Yongyi Yang,7,7,7
Maya Okawa,7,7,7
Kento Nishi,7,7,7
Martin Wattenberg,7,7,7
Hidenori Tanaka,7,7,7
Chongyang Tao,26,26,38
Tao Shen,20,20,26
Shen Gao,10,10,11
Junshuo Zhang,6,6,6
Zhen Li,6,6,6
Zhengwei Tao,6,6,6
Shuai Ma,6,6,6
Tolou Amirifar,2,2,2
S. Lahmiri,2,2,2
Masoumeh Kazemi Zanjani,2,2,2
Hao Wang,121,121,150
Luankang Zhang,21,21,26
Jin Yao Chin,18,18,18
Zhongzhou Liu,18,18,18
Kai Cheng,18,18,18
Qiushi Pan,18,18,18
Yi Lee,18,18,18
Wanqi Xue,18,18,18
Tingjia Shen,27,27,29
Kenan Song,18,18,18
Kefan Wang,18,18,18
Wenjia Xie,18,18,18
Yuyang Ye,18,18,18
Huifeng Guo,27,27,28
Yong Liu,100,100,121
Defu Lian,21,21,26
S. Gahl,1,1,1
R. Baayen,4,4,4
Peng Shu,107,107,149
Junhao Chen,80,80,92
Zheng Liu,224,224,314
Hui Wang,167,167,182
Zihao Wu,143,143,258
Tianyang Zhong,114,114,154
Yiwei Li,107,107,149
Huaqin Zhao,82,82,103
Hanqi Jiang,80,80,92
Yi Pan,95,95,114
Yifan Zhou,80,80,92
Constance Owl,15,15,15
Xiaoming Zhai,84,84,96
Ninghao Liu,58,58,80
Claudio Saunt,15,15,15
Tianming Liu,235,235,369
Li Bai,5,5,5
Haibo Hu,5,5,5
Qingqing Ye,5,5,5
Haoyang Li,23,23,29
Leixia Wang,5,5,5
Jianliang Xu,11,11,11
L. Cong,2,2,2
Tengyuan Liang,2,2,2
Xiao Zhang,24,24,27
Chuang Yang,9,9,9
Kai Zhuang,9,9,9
Mulin Chen,9,9,9
Haozhao Ma,9,9,9
Xu Han,32,32,34
Tao Han,9,9,9
Changxing Guo,9,9,9
Han Han,9,9,9
Bingxuan Zhao,9,9,9
Qi Wang,43,43,43
Patrik Reizinger,6,6,6
Alice Bizeul,6,6,6
Attila Juhos,6,6,6
Julia E. Vogt,6,6,6
Randall Balestriero,6,6,6
Wieland Brendel,6,6,6
David Klindt,6,6,6
Zhengfu He,11,11,11
Wentao Shu,11,11,11
Xuyang Ge,11,11,11
Lingjie Chen,11,11,11
Junxuan Wang,11,11,11
Yunhua Zhou,11,11,11
Frances Liu,11,11,11
Qipeng Guo,53,53,74
Yu-Gang Jiang,49,49,53
Ke Yan,8,8,8
Hongwu Lv,4,4,4
Jiangyi Shao,4,4,4
Shutao Chen,4,4,4
Bin Liu,12,12,15
Yuchen Yan,5,5,5
Yongyi Hu,5,5,5
Qinghai Zhou,5,5,5
Shurang Wu,5,5,5
Dingsu Wang,5,5,5
Hanghang Tong,16,16,16
Georgiana Dinu,2,2,2
R. Lebret,3,3,3
Mengqiu Wang,1,1,1
D. Ciresan,4,4,5
A. Giusti,3,3,3
L. Gambardella,3,3,3
J. Schmidhuber,6,6,7
Suqin Yuan,2,2,2
Lei Feng,9,9,9
Tongliang Liu,15,15,16
Enrico De Santis,3,3,3
A. Martino,3,3,3
Francesca Ronci,3,3,3
A. Rizzi,3,3,3
Emily Wenger,1,1,1
Yoed N. Kenett,8,8,8
Zhengxuan Wu,12,12,18
Aryaman Arora,7,7,7
Atticus Geiger,15,15,24
Zheng Wang,41,41,42
Jing Huang,17,17,23
Daniel Jurafsky,7,7,7
Stefan Feuerriegel,13,13,13
Abdurahman Maarouf,13,13,13
Dominik Bär,13,13,13
Dominique Geissler,13,13,13
Jonas Schweisthal,13,13,13
Nicolas Pröllochs,13,13,13
Claire E. Robertson,13,13,13
Steve Rathje,13,13,13
Jochen Hartmann,13,13,13
O. Netzer,13,13,13
Alexandra A. Siegel,13,13,13
Barbara Plank,59,59,70
J. V. Van Bavel,13,13,13
Pedro L. Rodriguez,15,15,15
A. Spirling,15,15,15
Brandon M Stewart,27,27,27
¶. ElisaM.Wirsching,15,15,15
Christopher Lucas,15,15,15
Sebastian Popa,15,15,15
Clara H. Suong,15,15,15
Dias Akhmetbekov,15,15,15
Alia ElKattan,15,15,15
Tatsuya Koyama,15,15,15
Cristina Mac,15,15,15
Gregor Vanegas,15,15,15
Francis William,15,15,15
Touola Meda,15,15,15
Yinxuan Wang,15,15,15
Kyu Sik Yang,15,15,15
Zhong Ji,5,5,5
Jiahe Wu,4,4,4
Yaodong Wang,4,4,4
Aiping Yang,4,4,4
Jungong Han,11,11,11
Pengwei Xing,3,3,3
Songtao Lu,3,3,3
Lingfei Wu,30,30,30
Han Yu,3,3,3
Jiayi Kuang,9,9,9
Ying Shen,50,50,62
Jingyou Xie,9,9,9
Haohao Luo,9,9,9
Zhe Xu,18,18,18
Ronghao Li,9,9,9
Yinghui Li,31,31,40
Xianfeng Cheng,9,9,9
Xika Lin,9,9,9
Yu Han,59,59,60
Zichong Meng,4,4,4
Yiming Xie,4,4,4
Xiaogang Peng,4,4,4
Zeyu Han,5,5,5
Huaizu Jiang,4,4,4
Jingya Shi,9,9,10
Dezhi Han,11,11,13
Chongqing Chen,3,3,3
Xiang Shen,4,4,4
Myeongsoo Kim,9,9,9
Tyler Stennett,3,3,3
Saurabh Sinha,3,3,3
Alessandro Orso,3,3,3
Jiahao Zhao,7,7,7
Huafeng Wu,7,7,7
Yachao Zhou,7,7,7
Ling-Huey Li,7,7,7
Muhammad Khurram Khan,7,7,7
Kuan Ching Li,9,9,10
Zhaobo Qi,5,5,5
Yibo Yuan,5,5,5
Xiaowen Ruan,5,5,5
Shuhui Wang,5,5,5
Weigang Zhang,5,5,5
Qingming Huang,5,5,5
Yashvir S. Grewal,2,2,2
Edwin V. Bonilla,2,2,2
Thang D. Bui,2,2,2
Jialu Zhang,4,4,4
Xinyi Wang,16,16,16
Chenglin Yao,4,4,4
Jianfeng Ren,4,4,4
Xudong Jiang,4,4,4
Xiang Fang,10,10,10
Wanlong Fang,10,10,10
Daizong Liu,10,10,10
Xiaoye Qu,25,25,27
Jianfeng Dong,10,10,10
Pan Zhou,47,47,51
Renfu Li,10,10,10
Zichuan Xu,10,10,10
Lixing Chen,10,10,10
Panpan Zheng,10,10,10
Shuhuang Chen,5,5,5
Dingjie Fu,5,5,5
Shiming Chen,5,5,5
Shuo Ye,5,5,5
W. Hou,5,5,5
Xinge You,5,5,5
Jingjing Hu,5,5,5
Dan Guo,15,15,15
Kun Li,14,14,16
Zhan Si,5,5,5
Xun Yang,5,5,5
Meng Wang,21,21,21
Yuchen Cao,6,6,6
Jianglai Dai,6,6,6
Zhongyan Wang,6,6,6
Yeyubei Zhang,6,6,6
Xiaorui Shen,6,6,6
Yunchong Liu,6,6,6
Yexin Tian,6,6,6
Nan Xu,15,15,15
Xuezhe Ma,28,28,29
Shriyank Somvanshi,4,4,4
Subasish Das,8,8,8
Syed Aaqib Javed,4,4,4
Gian Antariksa,4,4,4
Ahmed Hossain,4,4,4
Yuxiao Li,8,8,8
Eric J. Michaud,5,5,5
David D. Baek,5,5,5
Joshua Engels,5,5,5
Xiaoqing Sun,5,5,5
Max Tegmark,5,5,5
Ziyan Jiang,18,18,18
Rui Meng,17,17,19
Xinyi Yang,5,5,5
Semih Yavuz,11,11,16
Wenhu Chen,33,33,35
Aleksandr Gordeev,3,3,3
V. Dokholyan,3,3,3
Irina Tolstykh,3,3,3
Maksim Kuprashevich,3,3,3
Bin Liang,11,11,16
Lin Gui,8,8,14
Yulan He,23,23,29
Erik Cambria,157,157,162
Ruifeng Xu,55,55,72
Hongtao Liu,4,4,4
Xin Li,24,24,24
Wanying Lu,4,4,4
Kefei Cheng,4,4,4
Xueyan Liu,4,4,4
Souha Al Katat,5,5,5
Chamseddine Zaki,5,5,5
Hussein Hazimeh,5,5,5
Ibrahim El Bitar,5,5,5
Rafael Angarita,5,5,5
Lionel Trojman,5,5,5
Jean Pouget-Abadie,4,4,4
Rabih Zbib,5,5,5
Zhongqiang Huang,11,11,11
Thomas Lamar,5,5,5
R. Schwartz,5,5,5
J. Makhoul,5,5,5
Yaniv Taigman,10,10,10
Ming Yang,13,13,13
Karl Moritz Hermann,7,7,8
Michel Galley,10,10,10
Chris Quirk,3,3,3
Razvan Pascanu,34,34,38
Dong Yu,63,63,69
George E. Dahl,11,11,13
N. Jaitly,16,16,17
Patrick Nguyen,10,10,10
Tara N. Sainath,32,32,34
Brian Kingsbury,14,14,14
Christophe Servan,4,4,8
Patrik Lambert,4,4,8
Anthony Rousseau,4,4,8
U. Meier,2,2,2
A. Acero,3,3,3
M. Sundermeyer,2,2,2
Ralf Schlüter,2,2,2
H. Ney,2,2,2
B. Yoo,11,11,11
Jiwoo Lee,5,5,5
Janghoon Ju,5,5,5
Seijun Chung,5,5,5
Soyeon Kim,7,7,7
Jaesik Choi,5,5,5
Chen-Yu Liu,4,4,4
Samuel Yen-Chi Chen,10,10,10
Kuan-Cheng Chen,4,4,4
Wei-Jia Huang,4,4,4
Yen-Jui Chang,4,4,4
Zhongzhi Li,15,15,15
Duzhen Zhang,26,26,28
Ming-Liang Zhang,15,15,15
Jiaxin Zhang,28,28,28
Zengyan Liu,15,15,15
Yuxuan Yao,15,15,15
Haotian Xu,21,21,21
Junhao Zheng,21,21,22
Pei-Jie Wang,15,15,15
Xiuyi Chen,20,20,21
Yingying Zhang,22,22,22
Fei Yin,15,15,15
Jiahua Dong,15,15,15
Zhijiang Guo,46,46,51
Le Song,17,17,17
Cheng-Lin Liu,15,15,15
Christoph Bertsch,3,3,3
Isaiah Hull,3,3,3
R. Lumsdaine,3,3,3
Xin Zhang,131,131,154
Ke Alexander Wang,2,2,2
Jiaxin Shi,18,18,18
Emily B. Fox,2,2,2
Menghao Huo,3,3,3
Kuan Lu,3,3,3
Qiang Zhu,3,3,3
Alireza Salemi,18,18,21
Cheng Li,27,27,33
Mingyang Zhang,10,10,16
Qiaozhu Mei,34,34,34
Weize Kong,8,8,8
Tao Chen,36,36,36
Zhuowan Li,11,11,11
Michael Bendersky,14,14,21
Hamed Zamani,24,24,28
Ons Aouedi,3,3,3
Van An Le,3,3,3
Kandaraj Piamrat,3,3,3
Yusheng Ji,3,3,3
Binata Roy,4,4,4
Jonathan L. Goodall,4,4,4
Diana McSpadden,4,4,4
Steven Goldenberg,4,4,4
Malachi Schram,4,4,4
S. Leelavathy,6,6,6
S. Balakrishnan,5,5,5
M. Manikandan,5,5,5
J. Palanimeera,5,5,5
K. Mohana Prabha,5,5,5
R. Vidhya,5,5,5
Zhangqi Jiang,5,5,5
Junkai Chen,5,5,5
Beier Zhu,5,5,5
Tingjin Luo,5,5,5
Yankun Shen,5,5,5
Xu Yang,9,9,9
Zhaoqing Wang,11,11,12
Xiaobo Xia,6,6,6
Runnan Chen,6,6,6
Dongdong Yu,6,6,6
Changhu Wang,8,8,8
Mingming Gong,6,6,6
Guowei Xu,5,5,5
Peng Jin,20,20,22
Hao Li,68,68,70
Yibing Song,5,5,5
Lichao Sun,235,235,325
Li Yuan,24,24,26
Zhenbiao Cao,5,5,5
Yuanlei Zheng,5,5,5
Zhihao Fan,5,5,5
Xiaojin Zhang,5,5,5
Wei Chen,62,62,66
Xiang Bai,18,18,18
Peng Xia,12,12,24
Kangyu Zhu,10,10,16
Haoran Li,29,29,42
Weijia Shi,7,7,9
Sheng Wang,11,11,13
Linjun Zhang,10,10,16
James Zou,71,71,74
Huaxiu Yao,106,106,114
J. Liu,5,5,5
Ankit Shah,4,4,4
G. Konidaris,8,8,8
Stefanie Tellex,17,17,19
D. Paulius,4,4,4
Taylan Soydan,4,4,4
Nikola Zubic,4,4,4
Nico Messikommer,4,4,4
Siddhartha Mishra,4,4,4
Davide Scaramuzza,4,4,4
Shailja Gupta,2,2,6
Rajesh Ranjan,2,2,6
Surya Narayan Singh,2,2,6
Feng Wang,31,31,31
Qi He,29,29,34
Shicheng Li,6,6,6
Yuntae Jeon,5,5,5
D. Tran,5,5,5
Almo Senja Kulinan,5,5,5
Taeheon Kim,5,5,5
Minsoo Park,5,5,5
Seunghee Park,5,5,5
Weiwei Ye,3,3,3
Songgaojun Deng,5,5,5
Qiaosha Zou,3,3,3
Ning Gui,3,3,3
Zheyuan Hu,4,4,4
Nazanin Ahmadi Daryakenari,4,4,4
Qianli Shen,4,4,4
Kenji Kawaguchi,4,4,4
G. Karniadakis,4,4,4
Makarakreasey King,2,2,2
Sang Inn Woo,2,2,2
C. Yune,2,2,2
Chaoyi Chen,12,12,12
Yao Zhang,31,31,31
Jiawei Wang,5,5,5
Qiao Liu,19,19,20
Chong Guo,12,12,12
Xiangjun Li,2,2,2
Xin Lu,26,26,30
Peixuan Li,2,2,2
Chao Wang,37,37,38
Guo Li,6,6,6
Haibin Zhang,8,8,8
Kai-Kit Wong,6,6,6
Zan Li,6,6,6
Derrick Wing Kwan Ng,6,6,6
Chan-Byoung Chae,6,6,6
B. O. Taiwo,10,10,10
Yewuhalashet Fissha,10,10,10
Shahab Hosseini,10,10,10
Mohammad Khishe,10,10,10
Esma Kahraman,10,10,10
Babatunde Adebayo,10,10,10
Mohammed Sazid,10,10,10
P. Adesida,10,10,10
Oluwaseun Victor Famobuwa,10,10,10
Joshua Oluwaseyi Faluyi,10,10,10
Adams Abiodun Akinlabi,10,10,10
Ao Li,4,4,4
Ying Li,7,7,7
Yunyang Xu,4,4,4
Xue-mei Li,4,4,4
Caiming Zhang,4,4,4
Rafael Azevedo,4,4,4
Thiago M. Coutinho,4,4,4
Joao Ferreira,4,4,4
Thiago Gomes,4,4,4
Erickson Nascimento,4,4,4
Yuqing Liang,3,3,3
Jiancheng Xiao,3,3,3
Wensheng Gan,10,10,15
Philip S. Yu,223,223,294
Zhonghe Zhang,3,3,3
Xiaoyu He,3,3,3
Vivek Iyer,3,3,3
Weijiao Zhang,5,5,5
Jindong Han,5,5,5
Zhao Xu,5,5,5
Hang Ni,5,5,5
Hao Liu,14,14,14
Hui Xiong,73,73,78
Yile Chen,4,4,4
Weiming Huang,16,16,17
Kaiqi Zhao,8,8,8
Yue Jiang,12,12,12
Gao Cong,16,16,17
Wenxuan Xie,2,2,2
Gaoche Wu,2,2,2
F. Karim,7,7,7
D. S. Khafaga,16,16,17
El-sayed M. El-kenawy,16,16,17
M. Eid,7,7,7
A. Ibrahim,7,7,7
L. Abualigah,13,13,13
Nima Khodadadi,7,7,7
Abdelaziz A. Abdelhamid,7,7,7
Yuxuan Wang,57,57,57
Alan L. Yuille,15,15,15
Ali Sarmadi,3,3,3
Zahra-Sadat Razavi,3,3,3
Andre J. van Wijnen,3,3,3
Madjid Soltani,3,3,3
Ramkumar Thirunavukarasu,1,1,2
Evans Kotei,1,1,2
Yongshun Gong,12,12,12
Tiantian He,5,5,5
Meng Chen,8,8,8
Liqiang Nie,37,37,37
Yilong Yin,5,5,5
Xinhao Xu,7,7,7
Hui Chen,36,36,43
Zijia Lin,18,18,24
Lixing Gong,7,7,7
Guoxin Wang,16,16,16
Yongjun Bao,7,7,7
Guiguang Ding,22,22,29
Katrien Beuls,2,2,3
Paul Van Eecke,2,2,3
Shumaila Khan,9,9,11
Iqbal Qasim,9,9,11
Wahab Khan,24,24,40
Khursheed Aurangzeb,5,5,5
J. Khan,5,5,5
M. S. Anwar,5,5,5
Liang Shi,4,4,4
Zhengju Tang,4,4,4
Nan Zhang,9,9,9
Xiaotong Zhang,4,4,4
Zhi Yang,20,20,20
Joy Mahapatra,1,1,1
U. Garain,1,1,1
Rahul Kumar,4,4,4
João Mendes-Moreira,2,2,2
Joydeep Chandra,2,2,2
Haixu Wu,5,5,5
Jiaxiang Dong,5,5,5
Mingsheng Long,9,9,18
Jianmin Wang,33,33,42
Kamal Acharya,2,2,2
Alvaro Velasquez,2,2,2
H. Song,9,9,9
Kaiyan Zhang,4,4,6
Biqing Qi,24,24,26
Hongtu Zhu,53,53,53
Yun Li,20,20,20
Gang Li,115,115,127
Jun Liu,187,187,232
J. Koch,4,4,4
S. Stisen,4,4,4
L. Troldborg,4,4,4
Raphael J. M. Schneider,4,4,4
E. Husom,3,3,3
Arda Goknil,7,7,15
Lwin Khin Shar,3,3,3
Sagar Sen,3,3,3
Hassan Shakil,6,6,6
Ahmad Farooq,2,2,2
Jugal K. Kalita,5,5,5
Sheng Bi,3,3,3
Jianyu Liu,3,3,3
Zeyi Miao,3,3,3
Qizhi Min,3,3,3
Junhao Wang,6,6,6
Zhengya Sun,6,6,6
Chunxin Yuan,6,6,6
Wenhui Li,6,6,6
Anan Liu,6,6,6
Zhiqiang Wei,21,21,21
Bo Yin,6,6,6
Biao Yang,14,14,14
Fucheng Fan,5,5,5
Rongrong Ni,5,5,5
Hai Wang,26,26,26
Ammar Jafaripournimchahi,5,5,5
Hongyu Hu,5,5,5
Zeyu Zhang,23,23,23
Shanwu Li,7,7,7
Hui Feng,17,17,17
Xuxi Zhou,7,7,7
Hui Li,16,16,20
Shujin Laima,7,7,7
Wenli Chen,7,7,7
Gabriel Reale-Nosei,2,2,2
Elvira Amador-Domínguez,2,2,2
Emilio Serrano,2,2,2
Eldor Abdukhamidov,4,4,4
Mohammad Abuhamad,4,4,4
Simon S. Woo,4,4,4
Eric Chan-Tin,4,4,4
Tamer Abuhmed,4,4,4
Zihao Chu,3,3,3
Wenming Ma,3,3,3
Mingqi Li,3,3,3
Hao Chen,58,58,69
Zhongyuan Su,3,3,3
Shengyan Gu,3,3,3
Jun Wang,114,114,115
Peter D. Lund,3,3,3
Qianlong Wang,8,8,8
Hongling Xu,6,6,6
Zhiyuan Wen,6,6,6
Min Yang,63,63,85
Bing Qin,58,58,92
A. Chandar,8,8,10
Stanislas Lauly,6,6,6
Mitesh M. Khapra,20,20,23
Balaraman Ravindran,6,6,6
V. Raykar,6,6,6
Amrita Saha,19,19,22
Andrew M. Saxe,2,2,2
James L. McClelland,4,4,4
S. Ganguli,11,11,11
Will Y. Zou,3,3,3
Yinggong Zhao,7,7,7
Victoria Fossum,3,3,3
David Chiang,14,14,14
David Warde-Farley,10,10,12
Mehdi Mirza,4,4,4
L. Maaten,0,0,0
Matthew D. Zeiler,0,0,0
Nicolas Boulanger-Lewandowski,3,3,4
Frédéric Bastien,8,8,8
Pascal Lamblin,8,8,8
J. Bergstra,8,8,8
Arnaud Bergeron,8,8,8
Nicolas Bouchard,8,8,8
H. Le,10,10,13
A. Allauzen,28,28,49
François Yvon,394,394,394
Amittai Axelrod,2,2,2
Xavier Glorot,2,2,2
Robert C. Moore,1,1,1
W. Lewis,1,1,1
Danijar Hafner,3,3,3
J. Pašukonis,3,3,3
Timothy Lillicrap,3,3,3
Meysam Alizamir,5,5,5
Kayhan Moradveisi,5,5,5
K. O. Ahmed,5,5,5
J. Bahrami,5,5,5
Sungwon Kim,5,5,5
Salim Heddam,5,5,5
Haocheng Ye,4,4,4
Zhian Ying,4,4,4
Yuntao Sun,4,4,4
Wenqiang Xu,4,4,4
Doaa Mahmud,6,6,6
Hadeel Hajmohamed,6,6,6
Shamma Almentheri,6,6,6
Shamma Alqaydi,6,6,6
Lameya Aldhaheri,6,6,6
R. A. Khalil,6,6,6
Nasir Saeed,6,6,6
Daming Luo,3,3,3
Tianze Wang,3,3,3
Jie Han,3,3,3
Ditao Niu,3,3,3
Zhengxin Xia,4,4,4
Wei Xue,18,18,18
Jia Zhai,4,4,4
Ta Zhou,4,4,4
Chong Su,4,4,4
Yifang Chen,4,4,4
Xiaoyu Li,19,19,21
Yingyu Liang,6,6,8
Zhenmei Shi,8,8,11
Hailong Yin,5,5,5
Yongqi Chen,5,5,5
Jingshu Zhou,5,5,5
Yifan Xie,5,5,5
Qing Wei,5,5,5
Zuxin Xu,5,5,5
Changqi Zuo,3,3,3
Xu Zhang,26,26,26
Liang Yan,3,3,3
Zuyu Zhang,3,3,3
Xiang Xu,15,15,15
Wanshan Yang,8,8,8
Runlong Yu,8,8,8
Xiaojing Fan,3,3,4
Chunliang Tao,3,3,4
Jianyu Zhao,9,9,9
Na Ying,4,4,4
Yinhe Jiang,4,4,4
Chunsheng Guo,4,4,4
Di Zhou,10,10,10
Jian Zhao,12,12,12
James C. R. Whittington,4,4,4
William Dorrell,4,4,4
Tim E. J. Behrens,4,4,4
Surya Ganguli,4,4,4
Mohamady El-Gaby,4,4,4
Linan Yue,4,4,4
Binbin Jin,4,4,4
Han Wu,4,4,4
Yanqing An,4,4,4
Shijie Li,5,5,5
Weijian Li,5,5,5
Lulu Chen,5,5,5
Huaiguang Jiang,5,5,5
Jun Zhang,35,35,35
David Wenzhong Gao,5,5,5
Yasaman Bahri,5,5,5
Jonathan Kadmon,5,5,5
S. Schoenholz,5,5,5
Jascha Narain Sohl-Dickstein,128,128,128
Thomas Schmied,8,8,8
Thomas Adler,8,8,8
Vihang Patil,8,8,8
Maximilian Beck,8,8,8
Korbinian Poppel,8,8,8
Johannes Brandstetter,8,8,8
G. Klambauer,8,8,8
Sepp Hochreiter,14,14,14
Maurice Kraus,3,3,3
Felix Divo,3,3,3
D. Dhami,3,3,3
K. Kersting,7,7,7
Kun Wang,36,36,36
Zhiqiang Yan,6,6,6
Junkai Fan,6,6,6
Wanlu Zhu,6,6,6
Xiang Li,373,373,464
Jun Li,43,43,43
Pascal Vincent,2,2,2
Siyuan Mu,1,1,1
Sen Lin,1,1,1
Yang Ji,9,9,9
Ying Sun,9,9,9
Yuting Zhang,9,9,9
Zhigaoyuan Wang,9,9,9
Yuanxin Zhuang,9,9,9
Zheng Gong,13,13,13
Dazhong Shen,9,9,9
Chuan Qin,27,27,31
Hengshu Zhu,26,26,34
C. A. Brizuela,3,3,3
Gary Liu,3,3,3
Jonathan M. Stokes,3,3,3
César de la Fuente-Nunez,3,3,3
Noah Hollmann,7,7,7
Samuel G. Müller,7,7,7
Lennart Purucker,7,7,7
Arjun Krishnakumar,15,15,15
Max Körfer,7,7,7
Shi Bin Hoo,7,7,7
R. Schirrmeister,7,7,7
Frank Hutter,11,11,11
Liang Zhao,47,47,49
Xu Fan,6,6,6
Ammar Hawbani,6,6,6
Lexi Xu,6,6,6
Keping Yu,6,6,6
Zhi Liu,6,6,6
Osama Alfarraj,19,19,19
Xizhen Zhang,3,3,3
Xiaoli Zhang,3,3,3
Qiong Huang,3,3,3
Fuming Chen,3,3,3
Sadjad Alikhani,2,2,2
Gouranga Charan,2,2,2
Ahmed Alkhateeb,2,2,2
Alex Havrilla,20,20,20
Wenjing Liao,1,1,1
Ziming Wang,2,2,2
Changwu Huang,2,2,2
Xin Yao,4,4,4
Jiansheng Lin,5,5,5
Youjia Chen,5,5,5
Haifeng Zheng,5,5,5
Ming Ding,19,19,19
P. Cheng,5,5,5
L. Hanzo,5,5,5
Michael Matthews,3,3,3
Michael Beukman,3,3,3
Chris Lu,3,3,3
Jakob Foerster,21,21,21
Giuseppe Bruno,2,2,2
Federico Pasqualotto,2,2,2
Andrea Agazzi,2,2,2
Abishek Rao,2,2,2
Shivani Aithal,2,2,2
Sanjay Singh,2,2,2
Aaron Alvarado Kristanto Julistiono,2,2,2
Davoud Ataee Tarzanagh,2,2,2
Navid Azizan,2,2,2
Takeru Miyato,3,3,3
Sindy Lowe,3,3,3
Andreas Geiger,3,3,3
Max Welling,3,3,3
Hongfan Gao,5,5,5
Wangmeng Shen,5,5,5
Xiangfei Qiu,5,5,5
Ronghui Xu,5,5,5
Jilin Hu,5,5,5
Bin Yang,5,5,5
J. Delmoral,1,1,1
João Manuel R. S. Tavares,1,1,1
Naomi Saphra,23,23,23
Sarah Wiegreffe,3,3,4
T. Konstantin Rusch,1,1,1
Daniela Rus,1,1,1
P. Marion,3,3,3
Raphael Berthier,3,3,3
Gérard Biau,3,3,3
Claire Boyer,3,3,3
Linjie Huang,3,3,3
G. Fan,3,3,3
Hong Hao,3,3,3
Reza Karami,3,3,3
O. Yazdanpanah,3,3,3
K. Dolatshahi,3,3,3
Minwoo Chang,3,3,3
Yunlong Cui,6,6,6
Zhao Li,11,11,11
Yusong Wang,6,6,6
Danhuang Dong,6,6,6
Chenlin Gu,6,6,6
Xiaowei Lou,6,6,6
Peng Zhang,17,17,17
David Harding-Larsen,6,6,6
Jonathan Funk,6,6,6
N. G. Madsen,6,6,6
Hani Gharabli,6,6,6
C. Acevedo‐Rocha,6,6,6
Stanislav Mazurenko,6,6,6
D. Welner,6,6,6
Petar Velivckovi'c,3,3,3
Christos Perivolaropoulos,3,3,3
Federico Barbero,3,3,3
Yao Ni,2,2,2
Shan Zhang,9,9,9
Piotr Koniusz,5,5,5
Moussa Belletreche,10,10,10
N. Bailek,10,10,10
